"Mice","weight_g","length_cm","ab_fat","other_fat","total_fat","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only"
"F2_292",45.7,10.4,1.04,2.31,3.35,7.33041575492341,41,1285,81,460,96,497,1204,196.398,2074,0.239633558341369,105889.76,5.795,218500,0,0,11,0,0,0.0554,0.08065
"F2_294",44.8,9.8,1.22,2.47,3.69,8.23660714285714,114,1410,50,516,118,535,1360,95.452,9181,0.058272519333406,130846.3,6.868,243750,12,10,0,0,0,NA,NA
"F2_295",39.2,10.2,3.06,2.49,5.55,14.1581632653061,72,1533,18,620,106,382,1515,144.27,485,0.78762886597938,75166.22,17.328,104250,17,2,0,0,0,0.0557,0.077
"F2_313",46.2,10.4,1.76,2.35,4.11,8.8961038961039,5,1863,54,658,146,460,1809,157.396,3520,0.130681818181818,199609.68,9.63,241000,28,6,0,0,0,0.0548,0.0795
"F2_314",52.3,10.7,1.45,2.65,4.1,7.83938814531549,119,1334,34,466,117,396,1300,NA,5208,0.076036866359447,86420.94,8.001,155000,21,8,0,0,0,0.0549,0.07715
"F2_315",54.4,11.1,0.38,2.32,2.7,4.96323529411765,113,2154,42,850,187,652,2112,NA,9267,0.0703571813963527,122113.22,9.287,252500,24,11,0,0,51,0.0631,0.0896
"F2_316",52.7,11.1,1.09,1.61,2.7,5.12333965844402,129,1198,74,378,90,322,1124,143.21,6224,0.0517352185089974,62457.86,3.113,294500,28,14,1,0,1,0.0607,0.0874
"F2_265",47.1,10.5,1.47,2.31,3.78,8.02547770700637,881,1502,43,552,146,524,1459,92.142,11469,0.0456883773650711,79101.92,2.541,195500,0,0,0,0,17,0.0564,0.08335
"F2_266",53.2,10.7,0.83,2.08,2.91,5.46992481203008,120,1688,42,777,171,604,1646,200.902,14028,0.043056743655546,113769.74,1.885,240250,6,0,8,0,5,0.0609,0.0862
"F2_268",48,10.9,1.13,2.15,3.28,6.83333333333333,106,1463,45,527,132,456,1418,208.364,14700,0.0310204081632653,72941.86,12.595,236250,15,4,0,0,0,0.0618,0.0901
"F2_274",49.4,11,0.91,1.71,2.62,5.30364372469636,502,2135,49,910,227,819,2086,154.504,18663,0.0438836199967851,100817.24,5.095,147250,34,23,0,1,0,0.0539,0.08545
"F2_275",50.4,10.5,0.86,2.51,3.37,6.68650793650794,96,1485,61,475,99,417,1424,247.144,8876,0.0469806219017576,114446.02,5.013,138250,4,0,8,0,1,0.0627,0.08905
"F2_276",54.1,11.1,1.3,2.87,4.17,7.70794824399261,254,1649,52,729,214,548,1597,209.42,3781,0.144935202327427,76213.66,6.706,99642,0,0,0,0,0,0.0575,0.06835
"F2_279",44.8,10.5,2.05,2.25,4.3,9.5982142857143,95,1195,35,527,151,457,1160,124.23,1902,0.240273396424816,29163.56,6.147,58250,5,5,0,NA,3134,0.063,0.0899
"F2_280",50.7,10.4,1.17,2.74,3.91,7.7120315581854,104,1509,44,674,185,601,1465,164.584,7065,0.0850672328379335,61331.2,5.666,208250,8,5,0,0,1,0.0599,0.0819
"F2_281",41.8,10.5,1.54,2.18,3.72,8.89952153110048,110,1290,33,583,188,562,1257,77.95,2397,0.234459741343346,60631.36,7.497,135000,71,7,0,0,0,0.0614,0.08595
"F2_282",52.3,10.5,NA,2.86,NA,NA,149,1575,35,697,201,639,1540,NA,13852,0.0461305226682068,219146.4,5.993,99250,2,2,0,0,0,0.0504,0.07555
"F2_284",53.8,10.5,1.19,2.47,3.66,6.80297397769517,54,1160,41,463,93,457,1119,337.988,18663,0.0244869527942989,183042.18,8.44,343500,57,0,0,0,0,0.0605,0.08795
"F2_285",43.9,10.3,0.76,1.87,2.63,5.99088838268793,14,1431,25,612,120,528,1406,260.088,2273,0.232292124945007,58219.54,NA,204500,0,0,0,7,5,0.0609,0.0879
"F2_286",49,10.5,2.03,2.45,4.48,9.14285714285714,126,1166,48,456,127,515,1118,187.532,6701,0.0768542008655425,86234.3,5.978,72500,44,0,0,0,1,NA,NA
"F2_231",47.4,10.3,0.94,2.26,3.2,6.75105485232068,120,957,44,311,68,242,913,98.936,4489,0.0539095566941412,48414.96,2.219,95500,0,0,0,0,0,0.0543,0.07845
"F2_232",45.7,10.3,1.92,2.19,4.11,8.99343544857768,97,1550,75,547,124,532,1475,65.816,7560,0.0703703703703704,74982.22,2.672,200313,12,0,3,2,8,NA,NA
"F2_233",50.4,10.6,1.17,2.57,3.74,7.42063492063492,142,1576,42,553,103,387,1534,130.426,8101,0.047771880014813,118817.56,2.494,237250,68,6,0,0,10,0.0566,0.08305
"F2_234",47.8,10.2,1.53,2.18,3.71,7.76150627615063,60,1172,42,416,83,336,1130,146.35,6165,0.0545012165450122,119135.34,5.564,225500,0,0,0,0,0,NA,NA
"F2_235",47.9,10.5,2.16,3.15,5.31,11.0855949895616,88,944,27,384,108,406,917,107.162,2098,0.193517635843661,64015.66,5.045,314500,27,16,0,0,0,0.0525,0.0722
"F2_236",52.2,10.6,1.73,2.07,3.8,7.27969348659004,109,1620,54,474,81,365,1566,147.466,4301,0.0848639851197396,64819.4,2.733,238250,59,5,0,NA,14,0.0578,0.0838
"F2_237",47.6,10.7,1.43,2.84,4.27,8.97058823529412,143,1391,42,565,153,432,1349,172.002,9725,0.0444215938303342,98144.3,1.07,199750,6,3,0,0,0,0.0542,0.07305
"F2_238",50.4,10.6,2.35,NA,NA,NA,127,1044,38,433,137,514,1006,153.908,5387,0.0954148876925933,81968.48,3.212,168500,88,24,0,0,0,0.0573,0.07685
"F2_239",54.2,10.7,1.72,2.51,4.23,7.80442804428044,183,1385,40,593,151,484,1345,115.684,3087,0.156786524133463,140524.12,3.814,144000,10,9,0,0,0,0.0547,0.078
